numero	nom	mot clés	description breve	description
1	Quartz Rose	amour inconditionnel, tendresse, douceur, globalité, lien	Vibration d'amour, paix du coeur, l'amour est là.	
2	Jaspe Rouge	terre, ùatière, quoidien, énergie vitale, physique et corporel	Acrage, Terre, Découvrir notre terre intérieure Nomades	
3	Calcite Bleu	centrage, communication, expression, paix	Ecouter et Exprimer son Intérieur, pacification intérieure, clarifier	
4	Jade	transmission, ouverture du coeur, lois divines, oeuvre dans le quotidien	Noble de coeur, connexion à la vie par le coeur. Gardien des lois dans l'humilité	
5	Emeraude	coeur, spontanéité, magie, unité	Coeur, agie, Réunir ce qui est séparé en laissant parler le coeur	
6	Grenat	vitalité, feu, création, matérialisation, sexualité	Feu, Passion, Energie sexuelle, Ecouter ses besoins, prendre du plaisir	
7	Citrine	ego, pouvoir, spontanéité, joie, lumière, père	Accepter son soleil intérieur. Je m'affirme, j'enlève mon masque	
8	Obsidienne	colère, équilibre, justice, lois	Guerrier qui devient médiateur. Utiliser la colère pour être juste. Respecter les lois intérieures, justice	
9	Aigue Marine	enseignement, verbe, paix	Verbe juste, enseignant. Besoin d'exprimer. Paix par le verbe.	
10	Rhodonite	amour, guérison	Guerit les blessures affectives. Assumer e besoin d'affection. Libère de la peur de ne pas être aimé.	
11	Cornaline	féminin, centrage, intuition, créativité, mère	Ecoute intérieure (ramène au ventre au lieu du mental). Développe le Féminin intérieur. Maturer, Accoucher des choses, réguler le cycle.	
12	Bois Fossilisé	fcodes identitaires, lâcher-prise, sagesse, rayonnement	Lâcher le contrôle pour intégrer notre sagesse intérieure. Légèreté, côté enfant, joyeux.	
13	Hématite	structure et énerie vitale	Renouveler la structure, Bâtir, Transformation. Déprogrammer les anciens codes.	
14	Améthyste	equilibre ciel/terre, autorité, père, transmutation, transmission, canalisation	Equilibre entre cadre et liberté. Tempère les escès. Pacifie le rapport au père, à l'autorité, la rébellion. Transformation : Libère de ce qui nous sclérose, pierre de "passage".	
15	Malachite	miroir, ouverture du coeur, accueil, acceptation de soi	Donne l'ouverture de coeur, place d'accueillir. Acceptation de soi et des autres (tolérances).	
16	Opale	lâcher-prise, argent	Conscience de la Valeur de soi. Conscience de ce que j'apporte, de mon abondance. Lacher prise, à sa propre valeur.	
17	Aragonite	mental, centrage	Diversité, Captation, Mental. Amène la paix du mental. Aide à se canaliser, à mieux recevoir les infos perçues.	
18	Pierre de Lune	canalisation, conscience	Intuition, Feminin. Stabilise les cycles (lunatique). Permet d'intégrer les infos extra-sensorielles : fluidité	
